Општина,Школа,Мин. бодова,Укупно места,Преостало места
Земун,"Политехника - школа за нове технологије, Београд (Земун)",52.05,150,58
Земун,"Саобраћајно-техничка школа, Београд (Земун)",37.19,90,28
Земун,"Школа за ученике оштећеног вида ""Вељко Рамадановић"", Београд (Земун)",,12,12
Зрењанин,"Економско-трговинска школа ""Јован Трајковић"", Зрењанин",38.49,60,28
Зрењанин,"Електротехничка и грађевинска школа ""Никола Тесла"", Зрењанин",40.45,75,38
Зрењанин,"Зрењанинска гимназија, Зрењанин",79.25,30,24
Зрењанин,"Медицинска школа, Зрењанин",58.37,30,8
Зрењанин,"Техничка школа , Зрењанин",41.04,45,17
Зрењанин,"Хемијско-прехрамбена и текстилна школа ""Урош Предић"" , Зрењанин",38.52,135,69
Зубин Поток,"Средња школа ""Григорије Божовић"", Зубин Поток",44.51,120,84
Ивањица,"Гимназија, Ивањица",52.74,80,8
Ивањица,"Техничка школа , Ивањица",39.61,90,34
Инђија,"Гимназија, Инђија",50.07,60,16
Инђија,"Средња школа ""Др Ђорђе Натошевић"", Инђија",38.29,105,43
Инђија,"Техничка школа ""Михајло Пупин"", Инђија",38.1,60,29
Ириг,"Средња стручна школа ""Борислав Михајловић-Михиз"", Ириг",50.57,60,30
Јагодина,"Гимназија ""Светозар Марковић"", Јагодина",55.13,150,37
Јагодина,"Економско-трговинска школа ""Славка Ђурђевић"", Јагодина",38.62,30,17
Јагодина,"Електротехничка и грађевинска школа ""Никола Тесла"", Јагодина",45.06,90,23
Јагодина,"Прва техничка школа, Јагодина",42.72,120,70
Кањижа,"Пољопривредно-технички средњошколски центар ""Беседеш Јожеф"", Кањижа",44.48,90,44
Кикинда,"Гимназија ""Душан Васиљев"", Кикинда",50.62,120,39
Кикинда,"Економско-трговинска школа, Кикинда",53.11,30,12
Кикинда,"Средња стручна школа ""Милош Црњански"", Кикинда",51.92,60,15
Кикинда,"Техничка школа , Кикинда",51.23,30,9
Кладово,"Средња школа, Кладово",38.19,90,27
Кнић,"Средња школа ""Добрица Ерић"", Кнић",45.15,90,51
Књажевац,"Књажевачка гимназија, Књажевац",53.92,60,17
Књажевац,"Техничка школа , Књажевац",38.7,90,35
Ковачица,"Гимназија ""Михајло Пупин"", Ковачица",51.33,60,29
Ковин,"Гимназија и средња стручна школа ""Бранко Радичевић"" , Ковин",52.03,60,29
Ковин,"Средња стручна школа ""Васа Пелагић"", Ковин",34.08,105,56
Косјерић,"Техничка школа , Косјерић (Варош)",52.71,60,13
Косовска Каменица,"Гимназија, Косовска Каменица",59.48,60,42
Косовска Каменица,"Економско-трговинска школа, Ранилуг",43.52,80,52
Косовска Каменица,"Техничка школа , Косовска Каменица",39.48,60,34
Косовска Митровица,"Гимназија и Техничка школа Вучитрн, Косовска Митровица",57.75,40,31
Косовска Митровица,"Гимназија, Косовска Митровица",72.5,40,14
Косовска Митровица,"Економско-трговинска школа, Косовска Митровица",52.66,80,48
Косовска Митровица,"Техничка школа ""Михаило Петровић Алас"", Косовска Митровица",49.27,100,53
Костолац,"Техничка школа са домом ученика ""Никола Тесла"", Костолац",50.07,60,31
Коцељева,"Средња школа, Коцељева",35.1,150,55
Крагујевац,"Прва техничка школа, Крагујевац",55.23,30,22
Крагујевац,"Средња стручна школа, Крагујевац",41.35,150,101
Крагујевац,"Трговинско-угоститељска школа ""Тоза Драговић"", Крагујевац",42.16,180,89
Краљево,"Гимназија, Краљево",54.81,60,2
Краљево,"Машинска техничка школа ""14. октобар"", Краљево",41.09,105,29
Краљево,"Пољопривредно-хемијска школа ""Др Ђорђе Радић"", Краљево",40.62,120,60
Краљево,"Шумарска школа, Краљево",35.84,150,57
Крупањ,"Средња школа, Крупањ",42.5,75,19
Крушевац,"Гимназија, Крушевац",57.26,240,34
Крушевац,"Економско-трговинска школа, Крушевац",42.62,60,32
