Шифра,Назив,Подручје рада,Школа - МБ,Школа - Назив,Школа - Место,Школа - Општина,Школа - Округ,Укупно места,Трајање,Језик,Тип профила,Специјализован,Спортски,Мин. бодова 1K,Преостало места 1K
BOBOGA4R01S,Друштвено - језички смер,Гимназија,07414269,"Гимназија ""Бора Станковић""",Бор,Бор,Борски управни округ,60,4,Српски,Редовнo,НЕ,НЕ,54.43,38
BOBOGA4R04S,Природно - математички смер,Гимназија,07414269,"Гимназија ""Бора Станковић""",Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,77.51,3
BOBOSB4L01S,Економски техничар,"Економија, право и администрација",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,55.09,16
BOBOSB4L05S,Правно - пословни техничар,"Економија, право и администрација",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,57.27,9
BOBOSB3K07S,Конобар,"Трговина, угоститељство и туризам",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,,15
BOBOSB3K08S,Кувар,"Трговина, угоститељство и туризам",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,38.58,4
BOBOSB4K16S,Туристички техничар,"Трговина, угоститељство и туризам",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,53.39,21
BOBOSD4E08S,Електротехничар рачунара,Електротехника,07264259,Машинско-електротехничка школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,57.71,9
BOBOSD4D06S,Машински техничар за компјутерско конструисање,Машинство и обрада метала,07264259,Машинско-електротехничка школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,52.64,8
BOBOSC3C10S,Руковалац механизацијом у површинској експлоатацији,"Геологија, рударство и металургија",07264224,Техничка школа ,Бор,Бор,Борски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,40.68,13
PCPSGA4R03S,Општи тип,Гимназија,07179324,"Гимназија ""Скендербеу""",Прешево,Прешево,Пчињски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,50.01,23
PCSUGA4R03S,Општи тип,Гимназија,07573537,"Гимназија ""Светозар Марковић""",Сурдулица,Сурдулица,Пчињски управни округ,60,4,Српски,Редовнo,НЕ,НЕ,65.41,21
BOKLMA4R03S,Општи тип,Гимназија,17918087,Средња школа,Кладово,Кладово,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,64.27,14
BOKLMA4L01S,Економски техничар,"Економија, право и администрација",17918087,Средња школа,Кладово,Кладово,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,57.39,2
BOKLMA3D36S,Механичар грејне и расхладне технике,Машинство и обрада метала,17918087,Средња школа,Кладово,Кладово,Борски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,38.19,11
BOMAGA4R03S,Општи тип,Гимназија,07677316,"Гимназија ""Миле Арсенијевић Бандера""",Мајданпек,Мајданпек,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,75.22,22
BOMASB4E41S,Електротехничар информационих технологија,Електротехника,07648847,Техничка школа ,Мајданпек,Мајданпек,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,58.6,10
BOMASB3D50S,Оператер машинске обраде резањем,Машинство и обрада метала,07648847,Техничка школа ,Мајданпек,Мајданпек,Борски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,43.98,24
BOMASB4D83S,Техничар за компјутерско управљање (CNC) машина,Машинство и обрада метала,07648847,Техничка школа ,Мајданпек,Мајданпек,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,51.73,5
BOMASB4K16S,Туристички техничар (ДЕЛАТНОСТ ВАН СЕДИШТА - ДОЊИ МИЛАНОВАЦ),"Трговина, угоститељство и туризам",07648847,Техничка школа ,Мајданпек,Мајданпек,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,50.53,16
BONESB4A07S,Ветеринарски техничар,"Пољопривреда, производња и прерада хране",07129181,"Пољопривредна школа са домом ученика ""Рајко Боснић""",Неготин,Неготин,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,51.97,9
BONESB4A03S,Пољопривредни техничар,"Пољопривреда, производња и прерада хране",07129181,"Пољопривредна школа са домом ученика ""Рајко Боснић""",Неготин,Неготин,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,51.45,20
BONESB3F19S,Израђивач хемијских производа,"Хемија, неметали и графичарство",07129181,"Пољопривредна школа са домом ученика ""Рајко Боснић""",Неготин,Неготин,Борски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,42.55,20
BONESC3E19S,Електричар,Електротехника,07129173,Техничка школа ,Неготин,Неготин,Борски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,46.99,13
BONESC3E18S,Електромонтер мрежа и постројења,Електротехника,07129173,Техничка школа ,Неготин,Неготин,Борски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,45.45,11
BONESC3D22S,Бравар - заваривач,Машинство и обрада метала,07129173,Техничка школа ,Неготин,Неготин,Борски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,44.43,6
BONESC4D06S,Машински техничар за компјутерско конструисање,Машинство и обрада метала,07129173,Техничка школа ,Неготин,Неготин,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,55.21,22
KPKKGA4R01S,Друштвено - језички смер,Гимназија,09233881,Гимназија,Косовска Каменица,Косовска Каменица,Косовско-поморавски управни округ,20,4,Српски,Редовнo,НЕ,НЕ,72.52,18
KPKKGE4R01S,Друштвено - језички смер (ДЕЛАТНОСТ ВАН СЕДИШТА - ВЕЛИКО РОПОТОВО),Гимназија,09233881,Гимназија,Косовска Каменица,Косовска Каменица,Косовско-поморавски управни округ,20,4,Српски,Редовнo,НЕ,НЕ,59.48,14
BRVGMA4R03S,Општи тип,Гимназија,07159226,"Средња школа ""Милоје Васић"" ",Велико Градиште,Велико Градиште,Браничевски управни округ,60,4,Српски,Редовнo,НЕ,НЕ,59.13,19
BRVGMA3K13S,Посластичар,"Трговина, угоститељство и туризам",07159226,"Средња школа ""Милоје Васић"" ",Велико Градиште,Велико Градиште,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,41.43,8
BRVGMA4K16S,Туристички техничар,"Трговина, угоститељство и туризам",07159226,"Средња школа ""Милоје Васић"" ",Велико Градиште,Велико Градиште,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,50.59,1
BRZGSA4L01S,Економски техничар,"Економија, право и администрација",17113011,Техничка школа ,Жагубица,Жагубица,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,50.23,20
BRZGSA3K06S,Трговац,"Трговина, угоститељство и туризам",17113011,Техничка школа ,Жагубица,Жагубица,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,37.68,6
BRKOSE4E23S,Електротехничар процесног управљања,Електротехника,07160542,"Техничка школа са домом ученика ""Никола Тесла""",Костолац,Костолац,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,50.07,11
BRKOSE4D15S,Техничар грејања и климатизације,Машинство и обрада метала,07160542,"Техничка школа са домом ученика ""Никола Тесла""",Костолац,Костолац,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,52.37,20
BRKUSA4L16S,Финансијско - рачуноводствени техничар,"Економија, право и администрација",07164050,Економско-трговинска и машинска школа,Кучево,Кучево,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,57.1,10
BRKUSA3K08S,Кувар,"Трговина, угоститељство и туризам",07164050,Економско-трговинска и машинска школа,Кучево,Кучево,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,40.76,2
BRKUSA3K06S,Трговац,"Трговина, угоститељство и туризам",07164050,Економско-трговинска и машинска школа,Кучево,Кучево,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,43.38,12
BRKUSA4B02S,Шумарски техничар,Шумарство и обрада дрвета,07164050,Економско-трговинска и машинска школа,Кучево,Кучево,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,58.07,21
BRPMMA4R03S,Општи тип,Гимназија,07161719,"Средња школа ""Младост""",Петровац На Млави,Петровац на Млави,Браничевски управни округ,60,4,Српски,Редовнo,НЕ,НЕ,59.07,41
BRPMMA4L05S,Правно - пословни техничар,"Економија, право и администрација",07161719,"Средња школа ""Младост""",Петровац На Млави,Петровац на Млави,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,54.09,6
BRPMMA3K06S,Трговац,"Трговина, угоститељство и туризам",07161719,"Средња школа ""Младост""",Петровац На Млави,Петровац на Млави,Браничевски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,45.41,19
BRPOSB3K07S,Конобар,"Трговина, угоститељство и туризам",07161689,Економско-трговинска школа,Пожаревац,Пожаревац,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,46.23,5
BRPOSB3K06S,Трговац,"Трговина, угоститељство и туризам",07161689,Економско-трговинска школа,Пожаревац,Пожаревац,Браничевски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,40.81,18
BRPOSF3E50S,Сервисер термичких и расхладних уређаја,Електротехника,07577656,Политехничка школа,Пожаревац,Пожаревац,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,39.52,7
BRPOSD3A28S,Месар,"Пољопривреда, производња и прерада хране",07160631,"Пољопривредна школа са домом ученика ""Соња Маринковић""",Пожаревац,Пожаревац,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,39.3,11
BRPOSD3A31S,Оператер у прехрамбеној индустрији,"Пољопривреда, производња и прерада хране",07160631,"Пољопривредна школа са домом ученика ""Соња Маринковић""",Пожаревац,Пожаревац,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,44.64,10
BRPOSD3A23S,Пекар,"Пољопривреда, производња и прерада хране",07160631,"Пољопривредна школа са домом ученика ""Соња Маринковић""",Пожаревац,Пожаревац,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,44.6,10
BRPOSD4A03S,Пољопривредни техничар,"Пољопривреда, производња и прерада хране",07160631,"Пољопривредна школа са домом ученика ""Соња Маринковић""",Пожаревац,Пожаревац,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,50.05,11
BRPOSD4A10S,Прехрамбени техничар,"Пољопривреда, производња и прерада хране",07160631,"Пољопривредна школа са домом ученика ""Соња Маринковић""",Пожаревац,Пожаревац,Браничевски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,56.51,15
BRPOSD3A19S,Цвећар - вртлар,"Пољопривреда, производња и прерада хране",07160631,"Пољопривредна школа са домом ученика ""Соња Маринковић""",Пожаревац,Пожаревац,Браничевски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,47.88,10
KMVUGA4R01S,Друштвено - језички смер,Гимназија,09230408,Гимназија и Техничка школа Вучитрн,Косовска Митровица,Косовска Митровица,Косовско-митровачки управни округ,20,4,Српски,Редовнo,НЕ,НЕ,57.77,13
BGPASD4E11S,Техничар телекомуникационих технологија,Електротехника,07032463,Железничка техничка школа,Београд (Палилула),Палилула (Београд),Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,50.28,8
BGBASA4R03S,Општи тип,Гимназија,07067623,Средња школа,Барајево,Барајево,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,54.68,4
BGBASA4L01S,Економски техничар,"Економија, право и администрација",07067623,Средња школа,Барајево,Барајево,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,50.99,3
BGBASA4L13S,Комерцијалиста,"Економија, право и администрација",07067623,Средња школа,Барајево,Барајево,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,60.72,20
BGBASA3D82S,Механичар моторних возила,Машинство и обрада метала,07067623,Средња школа,Барајево,Барајево,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,43.8,11
BGBASA3P13S,Фризер,Остала делатност личних услуга,07067623,Средња школа,Барајево,Барајево,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,42.98,6
BGBASA4A03S,Пољопривредни техничар,"Пољопривреда, производња и прерада хране",07067623,Средња школа,Барајево,Барајево,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,52.19,25
BGVOSH3G30S,Галантериста коже,Текстилство и кожарство,07454783,Техничка школа за дизајн коже,Београд (Вождовац),Вождовац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,47.48,14
BGVOSH3G11S,Обућар,Текстилство и кожарство,07454783,Техничка школа за дизајн коже,Београд (Вождовац),Вождовац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,48.8,14
BGVOSH4G22S,Техничар дизајна производа од коже,Текстилство и кожарство,07454783,Техничка школа за дизајн коже,Београд (Вождовац),Вождовац,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,54.43,22
BGVOSH4G05S,Техничар моделар коже,Текстилство и кожарство,07454783,Техничка школа за дизајн коже,Београд (Вождовац),Вождовац,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,,30
BGVOSH4F34S,Техничар за заштиту животне средине,"Хемија, неметали и графичарство",07454783,Техничка школа за дизајн коже,Београд (Вождовац),Вождовац,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,51.45,14
BGVOSF4G02S,Текстилни техничар,Текстилство и кожарство,07454775,Школа за дизајн текстила,Београд (Вождовац),Вождовац,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,52.73,9
BGVOSF4G21S,Техничар дизајна текстилних материјала,Текстилство и кожарство,07454775,Школа за дизајн текстила,Београд (Вождовац),Вождовац,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,54.38,3
BGVRSC3D22S,Бравар - заваривач,Машинство и обрада метала,07018878,Техничка школа ГСП,Београд (Врачар),Врачар,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,48.72,9
BGVRGA4R01I,Друштвено - језички смер - италијански језик,Гимназија,07018860,Трећа београдска гимназија,Београд (Врачар),Врачар,Град Београд,30,4,Српско-Италијански,Редовнo,ДА,НЕ,95.07,10
BGGRMA4R01S,Друштвено - језички смер,Гимназија,07035195,Средња школа,Гроцка,Гроцка,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,51.13,1
BGGRMA4R04S,Природно - математички смер,Гимназија,07035195,Средња школа,Гроцка,Гроцка,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,50.02,18
BGGRMA4L16S,Финансијско - рачуноводствени техничар,"Економија, право и администрација",07035195,Средња школа,Гроцка,Гроцка,Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,50.09,3
BGGRMA3P13S,Фризер,Остала делатност личних услуга,07035195,Средња школа,Гроцка,Гроцка,Град Београд,60,3,Српски,Редовнo,НЕ,НЕ,34,25
BGGRMA3A28S,Месар,"Пољопривреда, производња и прерада хране",07035195,Средња школа,Гроцка,Гроцка,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,41.65,8
BGGRMA3A23S,Пекар,"Пољопривреда, производња и прерада хране",07035195,Средња школа,Гроцка,Гроцка,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,54.13,10
BGZVSH4D06S,Машински техничар за компјутерско конструисање,Машинство и обрада метала,07014651,"""Техноарт Београд"" - школа за машинство и уметничке занате",Београд (Звездара),Звездара,Град Београд,90,4,Српски,Редовнo,НЕ,НЕ,51.58,30
BGZVSH3D36S,Механичар грејне и расхладне технике,Машинство и обрада метала,07014651,"""Техноарт Београд"" - школа за машинство и уметничке занате",Београд (Звездара),Звездара,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,45.37,12
BGZVSH4D96S,Техничар за дизајн у машинству,Машинство и обрада метала,07014651,"""Техноарт Београд"" - школа за машинство и уметничке занате",Београд (Звездара),Звездара,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,53.94,11
BGZVSH4D83S,Техничар за компјутерско управљање (CNC) машина,Машинство и обрада метала,07014651,"""Техноарт Београд"" - школа за машинство и уметничке занате",Београд (Звездара),Звездара,Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,51.56,17
BGZVSG4H04S,Грађевински техничар за лабораторијска испитивања,Геодезија и грађевинарство,07078633,Грађевинска школа,Београд (Звездара),Звездара,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,51.59,10
BGZVSG3H12S,Декоратер зидних површина,Геодезија и грађевинарство,07078633,Грађевинска школа,Београд (Звездара),Звездара,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,44.49,20
BGZVSG4H08S,Извођач инсталатерских и завршних грађевинских радова,Геодезија и грађевинарство,07078633,Грађевинска школа,Београд (Звездара),Звездара,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,50.3,17
BGZVSG3H16S,Керамичар - терацер - пећар,Геодезија и грађевинарство,07078633,Грађевинска школа,Београд (Звездара),Звездара,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,40.26,3
BGZVSG3H24S,Монтер суве градње,Геодезија и грађевинарство,07078633,Грађевинска школа,Београд (Звездара),Звездара,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,40.72,22
BGZMSC4C25S,Техничар за рециклажу,"Геологија, рударство и металургија",17642197,Политехника - школа за нове технологије,Београд (Земун),Земун,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,53.97,24
BGZMSC4D17S,Техничар за индустријску роботику,Машинство и обрада метала,17642197,Политехника - школа за нове технологије,Београд (Земун),Земун,Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,52.05,14
BGZMSC4D83S,Техничар за компјутерско управљање (CNC) машина,Машинство и обрада метала,17642197,Политехника - школа за нове технологије,Београд (Земун),Земун,Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,52.45,20
BGZMSD3E50S,Сервисер термичких и расхладних уређаја,Електротехника,07026641,"Електротехничка школа ""Земун""",Београд (Земун),Земун,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,44.09,12
BGZMGA4R23S,Ученици са посебним способностима за физику,Гимназија,07021291,Земунска гимназија,Београд (Земун),Земун,Град Београд,20,4,Српски,Редовнo,ДА,НЕ,204.23,5
BGZMSF3D82S,Механичар моторних возила,Машинство и обрада метала,17076469,Саобраћајно-техничка школа,Београд (Земун),Земун,Град Београд,60,3,Српски,Редовнo,НЕ,НЕ,40.23,14
BGZMSF3F36S,Лакирер,"Хемија, неметали и графичарство",17076469,Саобраћајно-техничка школа,Београд (Земун),Земун,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,37.19,14
BGLAGA4R01S,Друштвено - језички смер,Гимназија,17079638,Гимназија у Лазаревцу,Лазаревац,Лазаревац,Град Београд,90,4,Српски,Редовнo,НЕ,НЕ,50.61,13
BGLAGA4R04S,Природно - математички смер,Гимназија,17079638,Гимназија у Лазаревцу,Лазаревац,Лазаревац,Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,71.92,4
BGLASB3C10S,Руковалац механизацијом у површинској експлоатацији,"Геологија, рударство и металургија",07070365,"Техничка школа ""Колубара""",Лазаревац,Лазаревац,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,39.09,1
BGLASB3E19S,Електричар,Електротехника,07070365,"Техничка школа ""Колубара""",Лазаревац,Лазаревац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,44.32,5
BGMLSB3E18S,Електромонтер мрежа и постројења,Електротехника,07524285,Техничка школа ,Младеновац (Варош),Младеновац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,45.43,8
BGMLSB3D22S,Бравар - заваривач,Машинство и обрада метала,07524285,Техничка школа ,Младеновац (Варош),Младеновац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,38.08,11
BGNBGA4R37S,Ученици са посебним способностима за географију и историју,Гимназија,07093314,Девета гимназија Михаило Петровић Алас,Београд (Нови Београд),Нови Београд,Град Београд,20,4,Српски,Редовнo,ДА,НЕ,188.04,3
BGNBGB4R03F,Општи тип - француски језик,Гимназија,07047177,"Десета гимназија ""Михајло Пупин""",Београд (Нови Београд),Нови Београд,Град Београд,30,4,Српско-Француски,Редовнo,ДА,НЕ,87.76,15
BGNBSE3D22S,Бравар - заваривач,Машинство и обрада метала,07026650,"Техничка школа ""Змај""",Београд (Нови Београд),Нови Београд,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,43.72,16
BGNBSE3D23S,Индустријски механичар,Машинство и обрада метала,07026650,"Техничка школа ""Змај""",Београд (Нови Београд),Нови Београд,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,46.26,13
BGNBSE3D50S,Оператер машинске обраде резањем,Машинство и обрада метала,07026650,"Техничка школа ""Змај""",Београд (Нови Београд),Нови Београд,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,,15
BGNBSE4D83S,Техничар за компјутерско управљање (CNC) машина,Машинство и обрада метала,07026650,"Техничка школа ""Змај""",Београд (Нови Београд),Нови Београд,Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,50.27,24
BGNBSE3D46S,Механичар оптике,Машинство и обрада метала,07093322,Техничка школа Нови Београд,Београд (Нови Београд),Нови Београд,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,46.51,3
BGOBSC3A28S,Месар,"Пољопривреда, производња и прерада хране",07506589,Пољопривредно-хемијска школа,Обреновац,Обреновац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,49.36,10
BGOBSC3A23S,Пекар,"Пољопривреда, производња и прерада хране",07506589,Пољопривредно-хемијска школа,Обреновац,Обреновац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,46.85,11
BGOBSC3A15S,Руковалац - механичар пољопривредне технике,"Пољопривреда, производња и прерада хране",07506589,Пољопривредно-хемијска школа,Обреновац,Обреновац,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,68.6,14
BGOBSB3D50S,Оператер машинске обраде резањем,Машинство и обрада метала,07094299,Техничка школа ,Обреновац,Обреновац,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,44.62,24
BGOBSB3K06S,Трговац,"Трговина, угоститељство и туризам",07094299,Техничка школа ,Обреновац,Обреновац,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,42.08,3
BGPASD4I27S,Техничар безбедности железничког саобраћаја,Саобраћај,07032463,Железничка техничка школа,Београд (Палилула),Палилула (Београд),Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,50.27,23
BGPASD4I03S,Техничар вуче,Саобраћај,07032463,Железничка техничка школа,Београд (Палилула),Палилула (Београд),Град Београд,60,4,Српски,Редовнo,НЕ,НЕ,51.28,30
BGPASD4I29S,Техничар управљања железничким саобраћајем,Саобраћај,07032463,Железничка техничка школа,Београд (Палилула),Палилула (Београд),Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,55.64,23
BGPASD4I28S,Транспортни техничар у железничком саобраћају,Саобраћај,07032463,Железничка техничка школа,Београд (Палилула),Палилула (Београд),Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,57.45,27
BGPASC3A28S,Месар,"Пољопривреда, производња и прерада хране",07043309,"Пољопривредна школа са домом ученика ""ПК Београд""",Београд (Палилула),Палилула (Београд),Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,40.66,17
BGPASC4A03S,Пољопривредни техничар,"Пољопривреда, производња и прерада хране",07043309,"Пољопривредна школа са домом ученика ""ПК Београд""",Београд (Палилула),Палилула (Београд),Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,51.41,5
BGPASC4A10S,Прехрамбени техничар,"Пољопривреда, производња и прерада хране",07043309,"Пољопривредна школа са домом ученика ""ПК Београд""",Београд (Палилула),Палилула (Београд),Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,52.61,1
BGPASC4A05S,Техничар хортикултуре,"Пољопривреда, производња и прерада хране",07043309,"Пољопривредна школа са домом ученика ""ПК Београд""",Београд (Палилула),Палилула (Београд),Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,52.87,23
BGPASC3A19S,Цвећар - вртлар,"Пољопривреда, производња и прерада хране",07043309,"Пољопривредна школа са домом ученика ""ПК Београд""",Београд (Палилула),Палилула (Београд),Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,48.02,10
BGPASB3E20S,Монтер телекомуникационих мрежа,Електротехника,17459139,Средња техничка ПТТ школа,Београд (Палилула),Палилула (Београд),Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,37.06,15
BGRASC3E50S,Сервисер термичких и расхладних уређаја,Електротехника,07004532,"Машинска школа ""Радоје Дакић""",Београд (Раковица),Раковица,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,43.01,25
BGRASC4E26S,Техничар мехатронике,Електротехника,07004532,"Машинска школа ""Радоје Дакић""",Београд (Раковица),Раковица,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,51.15,10
BGRASC4D17S,Техничар за индустријску роботику,Машинство и обрада метала,07004532,"Машинска школа ""Радоје Дакић""",Београд (Раковица),Раковица,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,50.76,17
BGRASC4D83S,Техничар за компјутерско управљање (CNC) машина,Машинство и обрада метала,07004532,"Машинска школа ""Радоје Дакић""",Београд (Раковица),Раковица,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,50.96,4
BGSVGA4R16S,Ученици са посебним способностима за филолошке науке - класични језици (језик наставе српски),Гимназија,07001916,Филолошка гимназија,Београд (Савски Венац),Савски венац,Град Београд,12,4,Српски,Редовнo,ДА,НЕ,203.53,2
BGSVGA4R17S,Ученици са посебним способностима за филолошке науке - немачки  језик (језик наставе српски),Гимназија,07001916,Филолошка гимназија,Београд (Савски Венац),Савски венац,Град Београд,24,4,Српски,Редовнo,ДА,НЕ,204.57,8
BGSVGA4R25S,Ученици са посебним способностима за филолошке науке - руски језик (језик наставе српски),Гимназија,07001916,Филолошка гимназија,Београд (Савски Венац),Савски венац,Град Београд,12,4,Српски,Редовнo,ДА,НЕ,215.76,2
BGSVSG4H07S,Грађевински техничар за хидроградњу,Геодезија и грађевинарство,07001959,"Школа за бродарство, бродоградњу и хидроградњу",Београд (Савски Венац),Савски венац,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,56.27,28
BGSVSG3D74S,Бродомеханичар,Машинство и обрада метала,07001959,"Школа за бродарство, бродоградњу и хидроградњу",Београд (Савски Венац),Савски венац,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,38.33,28
BGSVSG4I06S,Наутички техничар - речни смер,Саобраћај,07001959,"Школа за бродарство, бродоградњу и хидроградњу",Београд (Савски Венац),Савски венац,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,52.18,8
BGSOSA4L16S,Финансијско - рачуноводствени техничар,"Економија, право и администрација",07565631,Економско-трговинска школа,Сопот,Сопот,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,52,2
BGSOSA3K06S,Трговац,"Трговина, угоститељство и туризам",07565631,Економско-трговинска школа,Сопот,Сопот,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,41.87,4
BGSOSB3D22S,Бравар - заваривач,Машинство и обрада метала,07084005,"Машинска школа ""Космај""",Сопот,Сопот,Град Београд,30,3,Српски,Редовнo,НЕ,НЕ,40.01,13
BGSOSB4D83S,Техничар за компјутерско управљање (CNC) машина,Машинство и обрада метала,07084005,"Машинска школа ""Космај""",Сопот,Сопот,Град Београд,30,4,Српски,Редовнo,НЕ,НЕ,50.32,7
BGSGSI3E18S,Електромонтер мрежа и постројења,Електротехника,07002980,"Електротехничка школа ""Стари Град""",Београд (Стари Град),Стари град,Град Београд,15,3,Српски,Редовнo,НЕ,НЕ,57.95,13
